Comment
Bg bahas ihsg
Tabungan masa depan investasi ni
"Kalau beli dan simpan emas, tanah, properties apakah termasuk investasi?"
Thanks bang sangat membantu dan mudah/cepat dipahami😊
❤
Blm faham aq....
Ada grup wa gk bang untuk belajar saham
"What if I&#39;m not doing anything, these world look dry with have nothing"
"Kalau orang konvensional biasanya pada nyimpen dalam bentuk emas. Memang bukan investasi sih, lebih kepada “menjaga nilai uang” di kemudian hari"
Alhamdulilah berkat channel ini saya  jadi rajin nabung saham baru  punya 1 lot bjtm dan 1 lot antam
Gilaaa simple dan to the point bangeeet penjelasannya thank bang
konten mencerdaskan
Pd saat beli jual saham di ajaib tdk disertakan biaya fee nya jd dibelakang tiba2 ditagih biaya fee jual beli saham dgn bunganya... Kalau di app lain sdh termasuk biaya fee jual beli saham...
izin kak bagikan
"Pleasee enak bgt jelasinnya, bener2  bermanfaat buat aku yg nol bgt belum pernah belajar investasi tp tertarik, terima kasih ilmunya pak dokter, aku new subscriber"
Emas gak masuk bg?
"1 lagi ga ada bang emas, atau rumah"
Pak dokter mau tanya menentukan harga saham yg worth untuk dibeli itu gimana?
"Investasi beli lahan , buat perkebunan kelapa sawit . Sambil nunggu perusahaan tambang baru datang  nawar lahan ,"
Ini chanel paling bermanfAt selama nonton youtube
"Abang ini sungguh hebat menurut saya. Karena saya awan banget tentang investasi saham, sekarang mulai kebuka, perlunya berinvestasi. <br>Terimakasih bang"
"Dari mana lu tau di celengan gk nambah gk kurang😂<br>Bisa aja kurang, kalo kena (congkel🤣) wkwkkwk"
Saham dari Nol 👍🏻<br>Crypto dari Nol  ?
"Bang serius nanya nih. Kalau misalkan kita investasi misalkan aplikasi sekuritas yang kita pilih &quot;ajaib sekuritas&quot; dan aplikasi &quot;pluang&quot;. Nah kalau ajaib sekuritas dan pluang ini bangkrut, bagaimana nasib saham kita bang? Gigit jari kah? <br>Mohon penjelasan nya bang🙏 ."
"Saya umur 35 tahun, Alhamdulillah sejak belajar saham dari video2 saham dari nol saya sudah memulai nabung saham walau hanya 2 lot SIDO hehehe terimakasih buat admin nya, semoga ilmu nya barokah, salam kenal dari Sukabumi..."
"Adakah yg mau jawab, bisa gak kita investasi saham sedengakan aku lagi di taiwan,   smg Tuhan mmbalas semua kebaikanmu trimakasi banyak&quot;🙏🙏"
